x,y,depth,,,
30-06-17 1:15,2.27,-,,MAX,135.41
30-06-17 1:30,0.68,-,,MIN,-0.87
30-06-17 1:45,1.81,-,,,
30-06-17 2:00,1.29,-,,,
30-06-17 2:15,0.82,-,,,
30-06-17 2:30,2.02,-,,,
30-06-17 2:45,2.27,-,,,
30-06-17 3:00,2.28,-,,,
30-06-17 3:15,2.16,-,,,
30-06-17 3:30,3.89,-,,,
30-06-17 3:45,4.03,-,,,
30-06-17 4:00,3.77,-,,,
30-06-17 4:15,3.13,-,,,
30-06-17 4:30,1.69,-,,,
30-06-17 4:45,1.32,-,,,
30-06-17 5:00,1.32,-,,,
30-06-17 5:15,2.94,-,,,
30-06-17 5:30,3.29,-,,,
30-06-17 5:45,3.01,-,,,
30-06-17 6:00,2.8,-,,,
30-06-17 6:15,3.31,-,,,
30-06-17 6:30,4,-,,,
30-06-17 6:45,3.67,-,,,
30-06-17 7:00,3.03,-,,,
30-06-17 7:15,2.93,-,,,
30-06-17 7:30,2.76,-,,,
30-06-17 7:45,2.84,-,,,
30-06-17 8:00,1.66,-,,,
30-06-17 8:15,1.47,-,,,
30-06-17 8:30,0.98,-,,,
30-06-17 8:45,0.63,-,,,
30-06-17 9:00,0.35,-,,,
30-06-17 9:15,0.11,-,,,
30-06-17 9:30,-0.11,-,,,
30-06-17 9:45,0.08,-,,,
30-06-17 10:00,-0.47,-,,,
30-06-17 10:15,-0.04,-,,,
30-06-17 10:30,0.26,-,,,
30-06-17 10:45,-0.05,-,,,
30-06-17 11:00,0.43,-,,,
30-06-17 11:15,0.2,-,,,
30-06-17 11:30,2.12,-,,,
30-06-17 11:45,0.26,-,,,
30-06-17 12:00,-0.05,-,,,
30-06-17 12:15,-0.36,-,,,
30-06-17 12:30,0.28,-,,,
30-06-17 12:45,-0.44,-,,,
30-06-17 13:00,-0.16,-,,,
30-06-17 13:15,0.02,-,,,
30-06-17 13:30,-0.09,-,,,
30-06-17 13:45,-0.19,-,,,
30-06-17 14:00,-0.26,-,,,
30-06-17 14:15,-0.35,-,,,
30-06-17 14:30,0.45,-,,,
30-06-17 14:45,0.18,-,,,
30-06-17 15:00,0.71,-,,,
30-06-17 15:15,1.13,-,,,
30-06-17 15:30,1.41,-,,,
30-06-17 15:45,2.2,-,,,
30-06-17 16:00,1.9,-,,,
30-06-17 16:15,1.34,-,,,
30-06-17 16:30,1.65,-,,,
30-06-17 16:45,0.8,-,,,
30-06-17 17:00,0.83,-,,,
30-06-17 17:15,2.32,-,,,
30-06-17 17:30,2.21,-,,,
30-06-17 17:45,1.5,-,,,
30-06-17 18:00,0.89,-,,,
30-06-17 18:15,0.74,-,,,
30-06-17 18:30,2.64,-,,,
30-06-17 18:45,2.14,-,,,
30-06-17 19:00,3.11,-,,,
30-06-17 19:15,3.47,-,,,
30-06-17 19:30,2.57,-,,,
30-06-17 19:45,2.03,-,,,
30-06-17 20:00,3.9,-,,,
30-06-17 20:15,2.32,-,,,
30-06-17 20:30,2.23,-,,,
30-06-17 20:45,2.13,-,,,
30-06-17 21:00,1.84,-,,,
30-06-17 21:15,1.75,-,,,
30-06-17 21:30,2.13,-,,,
30-06-17 21:45,1.36,-,,,
30-06-17 22:00,0.45,-,,,
30-06-17 22:15,0.77,-,,,
30-06-17 22:30,0.59,-,,,
30-06-17 22:45,1.87,-,,,
30-06-17 23:00,2.46,-,,,
30-06-17 23:15,1.66,-,,,
30-06-17 23:30,1.93,-,,,
30-06-17 23:45,2.39,-,,,
01-07-17 0:00,2.5,-,,,
01-07-17 0:15,0.1,-,,,
01-07-17 0:30,1.87,-,,,
01-07-17 0:45,1.09,-,,,
01-07-17 1:00,1.34,-,,,
01-07-17 1:15,0.26,-,,,
01-07-17 1:30,2.08,-,,,
01-07-17 1:45,0.13,-,,,
01-07-17 2:00,0.1,-,,,
01-07-17 2:15,-0.02,-,,,
01-07-17 2:30,0.55,-,,,
01-07-17 2:45,0.51,-,,,
01-07-17 3:00,0.56,-,,,
01-07-17 3:15,1.92,-,,,
01-07-17 3:30,2.25,-,,,
01-07-17 3:45,2.72,-,,,
01-07-17 4:00,2.98,-,,,
01-07-17 4:15,4.03,-,,,
01-07-17 4:30,2.66,-,,,
01-07-17 4:45,2.68,-,,,
01-07-17 5:00,2.93,-,,,
01-07-17 5:15,2.66,-,,,
01-07-17 5:30,2.35,-,,,
01-07-17 5:45,1.93,-,,,
01-07-17 6:00,1.82,-,,,
01-07-17 6:15,1.16,-,,,
01-07-17 6:30,2.94,-,,,
01-07-17 6:45,2.24,-,,,
01-07-17 7:00,1.69,-,,,
01-07-17 7:15,2.14,-,,,
01-07-17 7:30,2.16,-,,,
01-07-17 7:45,1.97,-,,,
01-07-17 8:00,1.6,-,,,
01-07-17 8:15,1.39,-,,,
01-07-17 8:30,1.65,-,,,
01-07-17 8:45,1.35,-,,,
01-07-17 9:00,1.35,-,,,
01-07-17 9:15,1.58,-,,,
01-07-17 9:30,0.35,-,,,
01-07-17 9:45,0.36,-,,,
01-07-17 10:00,0.18,-,,,
01-07-17 10:15,0.13,-,,,
01-07-17 10:30,0.15,-,,,
01-07-17 10:45,-0.31,-,,,
01-07-17 11:00,-0.44,-,,,
01-07-17 11:15,-0.22,-,,,
01-07-17 11:30,0.25,-,,,
01-07-17 11:45,0.3,-,,,
01-07-17 12:00,-0.33,-,,,
01-07-17 12:15,-0.28,-,,,
01-07-17 12:30,-0.61,-,,,
01-07-17 12:45,0.4,-,,,
01-07-17 13:00,-0.4,-,,,
01-07-17 13:15,-0.09,-,,,
01-07-17 13:30,-0.3,-,,,
01-07-17 13:45,-0.46,-,,,
01-07-17 14:00,-0.53,-,,,
01-07-17 14:15,-0.69,-,,,
01-07-17 14:30,-0.53,-,,,
01-07-17 14:45,-0.49,-,,,
01-07-17 15:00,0.11,-,,,
01-07-17 15:15,0.12,-,,,
01-07-17 15:30,-0.12,-,,,
01-07-17 15:45,0.5,-,,,
01-07-17 16:00,0.25,-,,,
01-07-17 16:15,0.69,-,,,
01-07-17 16:30,0.51,-,,,
01-07-17 16:45,0.96,-,,,
01-07-17 17:00,0.6,-,,,
01-07-17 17:15,1.5,-,,,
01-07-17 17:30,1.58,-,,,
01-07-17 17:45,2.98,-,,,
01-07-17 18:00,0.81,-,,,
01-07-17 18:15,1.25,-,,,
01-07-17 18:30,1.9,-,,,
01-07-17 18:45,0.55,-,,,
01-07-17 19:00,0.2,-,,,
01-07-17 19:15,1.03,-,,,
01-07-17 19:30,0.86,-,,,
01-07-17 19:45,1.08,-,,,
01-07-17 20:00,2.96,-,,,
01-07-17 20:15,3.05,-,,,
01-07-17 20:30,4.26,-,,,
01-07-17 20:45,3.44,-,,,
01-07-17 21:00,3.16,-,,,
01-07-17 21:15,1.93,-,,,
01-07-17 21:30,2.68,-,,,
01-07-17 21:45,2.2,-,,,
01-07-17 22:00,2.95,-,,,
01-07-17 22:15,3.73,-,,,
01-07-17 22:30,2.7,-,,,
01-07-17 22:45,2.87,-,,,
01-07-17 23:00,1.61,-,,,
01-07-17 23:15,-0.02,-,,,
01-07-17 23:30,0.46,-,,,
01-07-17 23:45,0.54,-,,,
02-07-17 0:00,2.5,-,,,
02-07-17 0:15,0.3,-,,,
02-07-17 0:30,1.46,-,,,
02-07-17 0:45,1.1,-,,,
02-07-17 1:00,1.72,-,,,
02-07-17 1:15,1.43,-,,,
02-07-17 1:30,0.02,-,,,
02-07-17 1:45,0.54,-,,,
02-07-17 2:00,0.06,-,,,
02-07-17 2:15,0.95,-,,,
02-07-17 2:30,0.05,-,,,
02-07-17 2:45,-0.18,-,,,
02-07-17 3:00,0.55,-,,,
02-07-17 3:15,0.49,-,,,
02-07-17 3:30,-0.25,-,,,
02-07-17 3:45,0.07,-,,,
02-07-17 4:00,0.02,-,,,
02-07-17 4:15,0.02,-,,,
02-07-17 4:30,0.11,-,,,
02-07-17 4:45,-0.38,-,,,
