x,y
2019-09-19 01:00,22.62
2019-09-19 01:15,22.73
2019-09-19 01:30,22.74
2019-09-19 01:45,22.8
2019-09-19 02:00,22.74
2019-09-19 02:15,22.71
2019-09-19 02:30,22.72
2019-09-19 02:45,22.69
2019-09-19 03:00,22.65
2019-09-19 03:15,22.67
2019-09-19 03:30,22.66
2019-09-19 03:45,22.51
2019-09-19 04:00,22.44
2019-09-19 04:15,22.47
2019-09-19 04:30,22.43
2019-09-19 04:45,22.4
2019-09-19 05:00,22.37
2019-09-19 05:15,22.27
2019-09-19 05:30,22.19
2019-09-19 05:45,22.07
2019-09-19 06:00,22.05
2019-09-19 06:15,21.92
2019-09-19 06:30,21.18
2019-09-19 06:45,20.66
2019-09-19 07:00,20.44
2019-09-19 07:15,20.32
2019-09-19 07:30,20.28
2019-09-19 07:45,20.28
2019-09-19 08:00,20.28
2019-09-19 08:15,20.59
2019-09-19 08:30,20.78
2019-09-19 08:45,21.15
2019-09-19 09:00,21.13
2019-09-19 09:15,21.38
2019-09-19 09:30,21.5
2019-09-19 09:45,21.67
2019-09-19 10:00,21.44
2019-09-19 10:15,21.63
2019-09-19 10:30,21.62
2019-09-19 10:45,21.65
2019-09-19 11:00,21.72
2019-09-19 11:15,21.8
2019-09-19 11:30,21.88
2019-09-19 11:45,21.89
2019-09-19 12:00,21.91
2019-09-19 12:15,21.93
2019-09-19 12:30,21.94
2019-09-19 12:45,21.99
2019-09-19 13:00,22.0
2019-09-19 13:15,22.03
2019-09-19 13:30,22.26
2019-09-19 13:45,22.35
2019-09-19 14:00,22.37
2019-09-19 14:15,22.32
2019-09-19 14:30,22.3
2019-09-19 14:45,22.33
2019-09-19 15:00,22.41
2019-09-19 15:15,22.39
2019-09-19 15:30,22.52
2019-09-19 15:45,22.51
2019-09-19 16:00,22.4
2019-09-19 16:15,22.32
2019-09-19 16:30,22.29
2019-09-19 16:45,22.3
2019-09-19 17:00,22.18
2019-09-19 17:15,22.16
2019-09-19 17:30,22.09
2019-09-19 17:45,21.99
2019-09-19 18:00,21.88
2019-09-19 18:15,21.67
2019-09-19 18:30,21.5
2019-09-19 18:45,21.34
2019-09-19 19:00,21.3
2019-09-19 19:15,21.25
2019-09-19 19:30,21.24
2019-09-19 19:45,21.19
2019-09-19 20:00,21.17
2019-09-19 20:15,21.16
2019-09-19 20:30,21.34
2019-09-19 20:45,21.52
2019-09-19 21:00,21.7
2019-09-19 21:15,21.44
2019-09-19 21:30,21.38
2019-09-19 21:45,21.49
2019-09-19 22:00,21.65
2019-09-19 22:15,22.05
2019-09-19 22:30,21.99
2019-09-19 22:45,21.94
2019-09-19 23:00,21.91
2019-09-19 23:15,21.88
2019-09-19 23:30,21.93
2019-09-19 23:45,21.97
2019-09-20 00:00,21.99
2019-09-20 00:15,22.04
2019-09-20 00:30,22.07
2019-09-20 00:45,22.07
2019-09-20 01:00,22.14
