x,y
2021-07-01 01:00,21.83
2021-07-01 01:15,21.88
2021-07-01 01:30,21.73
2021-07-01 01:45,21.73
2021-07-01 02:00,21.72
2021-07-01 02:15,22.09
2021-07-01 02:30,21.99
2021-07-01 02:45,21.96
2021-07-01 03:00,22.13
2021-07-01 03:15,22.1
2021-07-01 03:30,22.09
2021-07-01 03:45,22.05
2021-07-01 04:00,21.97
2021-07-01 04:15,21.94
2021-07-01 04:30,21.89
2021-07-01 04:45,21.81
2021-07-01 05:00,21.74
2021-07-01 05:15,21.71
2021-07-01 05:30,21.49
2021-07-01 05:45,21.35
2021-07-01 06:00,21.13
2021-07-01 06:15,20.97
2021-07-01 06:30,21.03
2021-07-01 06:45,21.05
2021-07-01 07:00,21.02
2021-07-01 07:15,20.98
2021-07-01 07:30,20.9
2021-07-01 07:45,20.79
2021-07-01 08:00,20.77
2021-07-01 08:15,20.71
2021-07-01 08:30,20.7
2021-07-01 08:45,20.67
2021-07-01 09:00,20.61
2021-07-01 09:15,20.58
2021-07-01 09:30,20.54
2021-07-01 09:45,20.54
2021-07-01 10:00,20.59
2021-07-01 10:15,20.68
2021-07-01 10:30,20.68
2021-07-01 10:45,20.87
2021-07-01 11:00,20.88
2021-07-01 11:15,21.0
2021-07-01 11:30,20.99
2021-07-01 11:45,21.2
2021-07-01 12:00,21.24
2021-07-01 12:15,21.38
2021-07-01 12:30,21.38
2021-07-01 12:45,21.49
2021-07-01 13:00,21.68
2021-07-01 13:15,21.83
2021-07-01 13:30,21.9
2021-07-01 13:45,22.06
2021-07-01 14:00,22.24
2021-07-01 14:15,22.34
2021-07-01 14:30,22.43
2021-07-01 14:45,22.49
2021-07-01 15:00,22.42
2021-07-01 15:15,22.89
2021-07-01 15:30,23.13
2021-07-01 15:45,22.9
2021-07-01 16:00,23.09
2021-07-01 16:15,23.19
2021-07-01 16:30,23.4
2021-07-01 16:45,23.06
2021-07-01 17:00,23.05
2021-07-01 17:15,23.18
2021-07-01 17:30,22.75
2021-07-01 17:45,22.9
2021-07-01 18:00,22.78
2021-07-01 18:15,22.81
2021-07-01 18:30,22.59
2021-07-01 18:45,22.63
2021-07-01 19:00,22.6
2021-07-01 19:15,22.55
2021-07-01 19:30,22.64
2021-07-01 19:45,22.71
2021-07-01 20:00,22.64
2021-07-01 20:15,22.73
2021-07-01 20:30,22.52
2021-07-01 20:45,22.52
2021-07-01 21:00,22.43
2021-07-01 21:15,22.2
2021-07-01 21:30,22.21
2021-07-01 21:45,22.15
2021-07-01 22:00,22.23
2021-07-01 22:15,22.22
2021-07-01 22:30,22.02
2021-07-01 22:45,21.95
2021-07-01 23:00,22.42
2021-07-01 23:15,22.43
2021-07-01 23:30,22.38
2021-07-01 23:45,22.27
2021-07-02 00:00,22.23
2021-07-02 00:15,22.13
2021-07-02 00:30,22.27
2021-07-02 00:45,22.48
2021-07-02 01:00,22.63
2021-07-02 01:15,22.74
2021-07-02 01:30,22.73
2021-07-02 01:45,22.54
2021-07-02 02:00,22.62
2021-07-02 02:15,22.47
2021-07-02 02:30,22.48
2021-07-02 02:45,22.84
2021-07-02 03:00,22.7
2021-07-02 03:15,22.6
2021-07-02 03:30,22.67
2021-07-02 03:45,22.99
2021-07-02 04:00,23.1
2021-07-02 04:15,22.99
2021-07-02 04:30,22.78
2021-07-02 04:45,22.73
2021-07-02 05:00,22.67
2021-07-02 05:15,22.54
2021-07-02 05:30,22.51
2021-07-02 05:45,22.49
2021-07-02 06:00,22.43
2021-07-02 06:15,22.28
2021-07-02 06:30,22.1
2021-07-02 06:45,21.88
2021-07-02 07:00,21.73
2021-07-02 07:15,21.72
2021-07-02 07:30,21.69
2021-07-02 07:45,21.63
2021-07-02 08:00,21.6
2021-07-02 08:15,21.61
2021-07-02 08:30,21.54
2021-07-02 08:45,21.52
2021-07-02 09:00,21.42
2021-07-02 09:15,21.3
2021-07-02 09:30,21.19
2021-07-02 09:45,21.19
2021-07-02 10:00,21.25
2021-07-02 10:15,21.23
2021-07-02 10:30,21.21
2021-07-02 10:45,21.17
2021-07-02 11:00,21.2
2021-07-02 11:15,21.26
2021-07-02 11:30,21.52
2021-07-02 11:45,21.52
2021-07-02 12:00,21.81
2021-07-02 12:15,21.97
2021-07-02 12:30,21.77
2021-07-02 12:45,22.07
2021-07-02 13:00,22.07
2021-07-02 13:15,22.23
2021-07-02 13:30,22.44
2021-07-02 13:45,22.72
2021-07-02 14:00,22.94
2021-07-02 14:15,23.16
2021-07-02 14:30,23.23
2021-07-02 14:45,23.53
2021-07-02 15:00,23.7
2021-07-02 15:15,23.95
2021-07-02 15:30,23.95
2021-07-02 15:45,24.08
2021-07-02 16:00,24.2
2021-07-02 16:15,24.27
2021-07-02 16:30,24.25
2021-07-02 16:45,23.98
2021-07-02 17:00,23.93
2021-07-02 17:15,23.93
2021-07-02 17:30,24.03
2021-07-02 17:45,24.17
2021-07-02 18:00,24.27
2021-07-02 18:15,24.02
2021-07-02 18:30,23.61
2021-07-02 18:45,23.43
2021-07-02 19:00,23.35
2021-07-02 19:15,23.14
2021-07-02 19:30,23.07
2021-07-02 19:45,23.18
2021-07-02 20:00,23.18
2021-07-02 20:15,23.12
2021-07-02 20:30,23.13
2021-07-02 20:45,23.05
2021-07-02 21:00,22.92
2021-07-02 21:15,22.51
2021-07-02 21:30,22.44
2021-07-02 21:45,22.41
2021-07-02 22:00,22.51
2021-07-02 22:15,22.42
2021-07-02 22:30,22.27
2021-07-02 22:45,22.14
2021-07-02 23:00,22.1
2021-07-02 23:15,22.04
2021-07-02 23:30,21.96
2021-07-02 23:45,21.87
2021-07-03 00:00,22.53
2021-07-03 00:15,22.25
2021-07-03 00:30,22.45
2021-07-03 00:45,22.28
2021-07-03 01:00,22.21
2021-07-03 01:15,22.62
2021-07-03 01:30,23.05
2021-07-03 01:45,23.34
2021-07-03 02:00,23.41
2021-07-03 02:15,23.53
2021-07-03 02:30,23.67
2021-07-03 02:45,23.81
2021-07-03 03:00,24.05
2021-07-03 03:15,24.25
2021-07-03 03:30,24.13
2021-07-03 03:45,24.3
2021-07-03 04:00,24.14
2021-07-03 04:15,24.11
2021-07-03 04:30,24.19
2021-07-03 04:45,24.26
2021-07-03 05:00,23.89
2021-07-03 05:15,23.72
2021-07-03 05:30,23.56
2021-07-03 05:45,23.46
2021-07-03 06:00,23.46
2021-07-03 06:15,23.18
2021-07-03 06:30,23.05
2021-07-03 06:45,22.99
2021-07-03 07:00,22.9
2021-07-03 07:15,22.55
2021-07-03 07:30,22.51
2021-07-03 07:45,22.54
2021-07-03 08:00,22.57
2021-07-03 08:15,22.54
2021-07-03 08:30,22.51
2021-07-03 08:45,22.41
2021-07-03 09:00,22.35
2021-07-03 09:15,22.28
2021-07-03 09:30,22.16
2021-07-03 09:45,22.06
2021-07-03 10:00,21.98
2021-07-03 10:15,21.93
2021-07-03 10:30,21.85
2021-07-03 10:45,21.82
2021-07-03 11:00,21.76
2021-07-03 11:15,21.74
2021-07-03 11:30,21.76
2021-07-03 11:45,21.78
2021-07-03 12:00,21.77
